--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed  |    Rel. |    Aki    |    fik    | Acc. |         Ei           Ek         |               Configurations                  |      Terms     |  Ji   Jk  | gi   gk |Type|     TP  | Line  |
   Wavelength |    Int. |    s^-1   |           |      |        (eV)         (eV)        |                                               |                |           |         |    |    Ref. | Ref.  |
    Air (nm)  |    (?)  |           |           |      |                                 |                                               |                |           |         |    |         |       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    374.449   |      85 | 5.01e+06  | 1.25e-02  | B    |    2.544644    -     5.854815   |          3d5.(4G).4s - 3d4.(3H).4s.4p.(3P*)   |  a 5G  - x 5G* |   5 - 6   | 11 - 13 |    |      16 |    1  |
    374.861   |      55 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    374.900   |     340 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    375.717   |      50 | 6.16e+06  | 1.83e-02  | B    |    2.543833    -     5.842842   |          3d5.(4G).4s - 3d4.(3H).4s.4p.(3P*)   |  a 5G  - x 5G* |   2 - 3   |  5 - 7  |    |      16 |    1  |
    375.766   |     230 | 4.13e+07  | 8.75e-02  | B    |    2.544270    -     5.842842   |          3d5.(4G).4s - 3d4.(3H).4s.4p.(3P*)   |  a 5G  - x 5G* |   3 - 3   |  7 - 7  |    |      16 |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    375.804   |      60 | 1.16e+07  | 1.91e-02  | B    |    2.544613    -     5.842842   |          3d5.(4G).4s - 3d4.(3H).4s.4p.(3P*)   |  a 5G  - x 5G* |   4 - 3   |  9 - 7  |    |      16 |    1  |
    376.743   |      24 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    376.824   |     260 | 5.10e+07  | 1.09e-01  | B    |    2.543833    -     5.833142   |          3d5.(4G).4s - 3d4.(3H).4s.4p.(3P*)   |  a 5G  - x 5G* |   2 - 2   |  5 - 5  |    |      16 |    1  |
    376.873   |      95 | 1.19e+07  | 1.81e-02  | B    |    2.544270    -     5.833142   |          3d5.(4G).4s - 3d4.(3H).4s.4p.(3P*)   |  a 5G  - x 5G* |   3 - 2   |  7 - 5  |    |      16 |    1  |
    378.886   |      95 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    379.045   |      95 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    379.138   |     130 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    379.214   |     130 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    379.329   |     120 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    379.388   |     130 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    379.461   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    379.713   |     140 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    379.772   |     200 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    380.480   |     530 | 6.9e+07   | 1.5e-01   | D    |    3.010626    -     6.268338   |          3d5.(4D).4s - 3d5.(4D).4p            |  b 5D  - u 5D* |   4 - 4   |  9 - 9  |    |      9n |    1  |
    380.683   |     110 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    380.793   |     110 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    381.543   |     180 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    381.848   |      70 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    381.956   |     180 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    382.352   |      70 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    382.642   |     130 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    383.003   |     130 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    384.128   |     380 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    384.898   |     190 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    384.936   |     140 | 2.3e+06   | 3.1e-03   | E    |    0.982881    -     4.202724   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 3P* |   2 - 1   |  5 - 3  |    |       2 |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    385.004   |     290 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    385.222   |     140 | 7.0e+06   | 5.2e-03   | E    |    0.968418    -     4.186024   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 3P* |   1 - 0   |  3 - 1  |    |       2 |    1  |
    385.422   |     190 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    385.529   |     110 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    385.557   |     140 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    385.763   |     260 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    387.453   |      70 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    388.329   |     660 | 3.9e+06   | 1.2e-02   | C    |    0.982881    -     4.174740   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   2 - 3   |  5 - 7  |    |       2 |    1  |
    388.366   |      50 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    388.522   |     570 | 3.9e+06   | 1.5e-02   | C    |    0.968418    -     4.158691   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   1 - 2   |  3 - 5  |    |       2 |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    388.679   |     380 | 2.2e+06   | 6.4e-03   | C    |    1.00368     -     4.192657   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   3 - 4   |  7 - 9  |    |       2 |    1  |
    389.193   |      60 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    389.404   |     260 | 3.9e+06   | 2.7e-02   | C    |    0.960974    -     4.144022   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   0 - 1   |  1 - 3  |    |       2 |    1  |
    389.765   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    390.211   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    390.292   |     360 | 3.5e+06   | 8.0e-03   | D    |    0.982881    -     4.158691   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   2 - 2   |  5 - 5  |    |       2 |    1  |
    390.316   |      60 | 1.8e+06   | 4.1e-03   | D    |    0.968418    -     4.144022   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   1 - 1   |  3 - 3  |    |       2 |    1  |
    390.876   |     960 | 6.2e+06   | 1.4e-02   | C    |    1.00368     -     4.174740   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   3 - 3   |  7 - 7  |    |       2 |    1  |
    391.182   | 120     |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    391.200   |         |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    391.584   |     120 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    391.624   |     190 | 9.7e+06   | 7.4e-03   | C    |    0.968418    -     4.133410   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   1 - 0   |  3 - 1  |    |       2 |    1  |
    391.760   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    391.916   |    1900 | 9.2e+06   | 2.1e-02   | C    |    1.03001     -     4.192657   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   4 - 4   |  9 - 9  |    |       2 |    1  |
    392.102   |     600 | 5.8e+06   | 8.0e-03   | C    |    0.982881    -     4.144022   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   2 - 1   |  5 - 3  |    |       2 |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    392.665   |      30 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    392.864   |     600 | 5.2e+06   | 8.6e-03   | C    |    1.00368     -     4.158691   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   3 - 2   |  7 - 5  |    |       2 |    1  |
    394.149   |     410 | 2.8e+06   | 5.1e-03   | C    |    1.03001     -     4.174740   |              3d4.4s2 - 3d4.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   4 - 3   |  9 - 7  |    |       2 |    1  |
    395.110   |      30 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    395.240   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    395.316   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    396.369   |    1900 | 1.3e+08   | 3.5e-01   | D    |    2.544106    -     5.671222   |          3d5.(4G).4s - 3d5.(4G).4p            |  a 5G  - y 5H* |   6 - 7   | 13 - 15 |    |       2 |    1  |
    396.906   |     120 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    396.975   |    1600 | 1.2e+08   | 3.4e-01   | D    |    2.544644    -     5.666990   |          3d5.(4G).4s - 3d5.(4G).4p            |  a 5G  - y 5H* |   5 - 6   | 11 - 13 |    |       2 |    1  |
    397.126   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    397.666   |    1600 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    397.868   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    397.980   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    398.123   |      85 | 1.1e+07   | 4.4e-02   | D    |    2.709915    -     5.823252   |          3d5.(4P).4s - 3d5.(4P).4p            |  a 5P  - u 5P* |   1 - 2   |  3 - 5  |    |     10n |    1  |
    398.391   |     960 | 1.05e+08  | 3.21e-01  | C    |    2.544270    -     5.655524   |          3d5.(4G).4s - 3d5.(4G).4p            |  a 5G  - y 5H* |   3 - 4   |  7 - 9  |    |      11 |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    398.434   |     190 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    398.999   |     160 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    399.112   |     960 | 1.07e+08  | 3.58e-01  | B    |    2.543833    -     5.649466   |          3d5.(4G).4s - 3d5.(4G).4p            |  a 5G  - y 5H* |   2 - 3   |  5 - 7  |    |      16 |    1  |
    399.167   |     160 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    399.284   |     190 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    399.397   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    400.144   |     160 | 6.8e+07   | 2.0e-01   | D    |    3.890371    -     6.987980   |          3d5.(4F).4s - 3d5.(4F).4p            |  a 5F  - v 5G* |   4 - 5   |  9 - 11 |    |     10n |    1  |
    401.467   |      30 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    402.226   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    402.501   |      70 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    402.617   |     120 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    402.710   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    403.068   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
