365.0158;2800
365.484;300
366.2887;80
366.3284;240
370.144;30
370.417;35
380.166;30
390.187;20
390.637;60
404.6565;1800
407.7837;150
410.805;40
433.922;250
434.7506;400
435.8335;4000
488.300;5
488.991;5
491.607;80
497.037;5
498.064;5
502.564;
510.270;20
512.064;40
513.794;20
529.074;20
531.678;5
535.405;60
538.463;30
546.0750;1100
554.963;30
567.586;160
576.9610;240
578.966;100
579.0670;280
580.378;140
585.925;60
587.198;20
607.272;20
623.440;30
671.643;160
690.752;250
708.190;250
709.186;200
772.882;20
