--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed  |  Rel. |    Aki    |    fik    | Acc. |          Ei           Ek           |                   Configurations                      |      Terms     |  Ji   Jk  | gi   gk |Type|      TP  | Line  |
     Wavelength |  Int. |    s^-1   |           |      |         (eV)         (eV)          |                                                       |                |           |         |    |     Ref. | Ref.  |
      Air (nm)  |  (?)  |           |           |      |                                    |                                                       |                |           |         |    |          |       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      360.3204  |   150 | 2.6e+07   | 5.1e-02   | C+   |    2.6924072    -     6.1323684    |          3p6.3d7.(2G).4s - 3p6.3d7.(2G).4p            |  a 3G  - v 3G* |   5 - 5   | 11 - 11 |    |       4n |   56  |
      360.5454  |   200 | 6.4e+07   | 1.2e-01   | C+   |    2.7275440    -     6.1653590    |          3p6.3d7.(2G).4s - 3p6.3d7.(2G).4p            |  a 3G  - y 3H* |   4 - 4   |  9 - 9  |    |       4n |   56  |
      360.6680  |   500 | 8.2e+07   | 1.9e-01   | C+   |    2.6924072    -     6.1290538    |          3p6.3d7.(2G).4s - 3p6.3d7.(2G).4p            |  a 3G  - y 3H* |   5 - 6   | 11 - 13 |    |       4n |   56  |
      360.8859  |  1500 | 8.14e+07  | 2.65e-01  | B+   |    1.011055     -     4.4456267    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - z 5G* |   1 - 2   |  3 - 5  |    |        3 |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      361.016   |   250 | 4.8e+07   | 9.4e-02   | C+   |    2.8082941    -     6.241629     | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7F* - e 7F  |   6 - 6   | 13 - 13 |    |       4n |   56  |
      361.2068  |    60 | 7.5e+06   | 1.7e-02   | C+   |    2.8325265    -     6.2640466    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7F* - e 5G  |   5 - 6   | 11 - 13 |    |       4n |   56  |
      361.7788  |   150 | 6.5e+07   | 1.8e-01   | C+   |    3.0172494    -     6.4433442    |          3p6.3d7.(2P).4s - 3p6.3d7.(2P).4p            |  c 3P  - u 3D* |   2 - 3   |  5 - 7  |    |       4n |   56  |
      361.8768  |  1500 | 7.3e+07   | 2.0e-01   | C+   |    0.9901105    -     4.4152778    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - z 5G* |   2 - 3   |  5 - 7  |    |    4n,6n |   56  |
      362.1462  |   200 | 5.1e+07   | 1.2e-01   | C+   |    2.7275440    -     6.1501632    |          3p6.3d7.(2G).4s - 3p6.3d7.(2G).4p            |  a 3G  - y 3H* |   4 - 5   |  9 - 11 |    |       4n |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      362.2004  |   150 | 5.1e+07   | 1.0e-01   | C+   |    2.7585773    -     6.1806839    |          3p6.3d7.(2G).4s - 3p6.3d7.(2G).4p            |  a 3G  - v 3G* |   3 - 3   |  7 - 7  |    |       4n |   56  |
      362.319   |   150 | 7.4e+06   | 1.5e-02   | C+   |    2.4040738    -     5.825067     |              3p6.3d6.4s2 - 3p6.3d6.(3H).4s.4p.(3P*)   |  a 3H  - z 3H* |   6 - 6   | 13 - 13 |    |       4n |   56  |
      363.1096  |   100 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      363.1463  |  1200 | 5.17e+07  | 1.31e-01  | B+   |    0.9581568    -     4.3713502    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - z 5G* |   3 - 4   |  7 - 9  |    |        3 |   56  |
      363.2041  |    60 | 4.8e+07   | 1.6e-01   | C+   |    3.0713385    -     6.4839887    |          3p6.3d7.(2P).4s - 3p6.3d7.(2P).4p            |  c 3P  - u 3D* |   1 - 2   |  3 - 5  |    |       4n |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      363.8298  |   100 | 2.6e+07   | 6.6e-02   | C+   |    2.7585773    -     6.1653590    |          3p6.3d7.(2G).4s - 3p6.3d7.(2G).4p            |  a 3G  - y 3H* |   3 - 4   |  7 - 9  |    |       4n |   56  |
      364.0389  |   200 | 3.8e+07   | 9.2e-02   | C+   |    2.7275440    -     6.1323684    |          3p6.3d7.(2G).4s - 3p6.3d7.(2G).4p            |  a 3G  - v 3G* |   4 - 5   |  9 - 11 |    |       4n |   56  |
      364.3717  |    80 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      364.7842  |  1500 | 2.92e+07  | 7.12e-02  | B+   |    0.9146016    -     4.3124697    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - z 5G* |   4 - 5   |  9 - 11 |    |        3 |   56  |
      364.9506  |   250 | 4.2e+07   | 6.9e-02   | C+   |    2.6924072    -     6.0887260    |          3p6.3d7.(2G).4s - 3p6.3d7.(2G).4p            |  a 3G  - w 3F* |   5 - 4   | 11 - 9  |    |       4n |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      365.0279  |    80 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      365.1467  |   200 | 6.2e+07   | 1.6e-01   | C+   |    2.7585773    -     6.1530722    |          3p6.3d7.(2G).4s - 3p6.3d7.(2G).4p            |  a 3G  - v 3G* |   3 - 4   |  7 - 9  |    |       4n |   56  |
      367.0024  |   120 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      367.0089  |   150 | 7.6e+06   | 1.8e-02   | C+   |    2.9487921    -     6.3260642    |              3p6.3d6.4s2 - 3p6.3d6.(3G).4s.4p.(3P*)   |  b 3G  - x 3H* |   5 - 6   | 11 - 13 |    |       4n |   56  |
      367.6311  |   100 | 4.63e+06  | 1.15e-02  | B+   |    2.5591712    -     5.9307270    |              3p6.3d6.4s2 - 3p6.3d6.(a 3F).4s.4p.(3P*) | b 3F2  - x 3G* |   4 - 5   |  9 - 11 |    |       29 |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
